delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,classification,Theta_LowAlpha_Ratio,Theta_HighAlpha_Ratio,Delta_Theta_Ratio,Total_Alpha,Total_Beta,Total_Gamma,High_Low_Alpha_Diff,High_Low_Beta_Diff,High_Low_Gamma_Diff
393212,13359,104667,39159,104667,39303,15006,108945,0,0.13,0.34,29.43,143826,143970,123951,-65508,-65364,93939
1253133,372495,104541,61808,104541,26282,9005,675767,1,3.56,6.03,3.36,166349,130823,684772,-42733,-78259,666762
707371,1155455,388671,36863,104505,123930,14725,1574693,0,2.97,31.34,0.61,425534,228435,1589418,-351808,19425,1559968
1571447,171980,111347,82547,103968,173988,30447,598935,0,1.54,2.08,9.14,193894,277956,629382,-28800,70020,568488
397065,143990,103902,24475,103902,11515,7404,641561,1,1.39,5.88,2.76,128377,115417,648965,-79427,-92387,634157
2887905,344592,103836,41647,103836,27353,12895,854188,1,3.32,8.27,8.38,145483,131189,867083,-62189,-76483,841293
1283545,96224,103740,67332,103740,30810,24477,6897,0,0.93,1.43,13.34,171072,134550,31374,-36408,-72930,-17580
838928,1311670,332196,112953,103637,174873,14330,1767712,0,3.95,11.61,0.64,445149,278510,1782042,-219243,71236,1753382
1284282,479887,345670,143977,103598,88202,8443,1935314,0,1.39,3.33,2.68,489647,191800,1943757,-201693,-15396,1926871
12286,25509,103385,17876,103385,12420,5252,43228,1,0.25,1.43,0.48,121261,115805,48480,-85509,-90965,37976
669946,391933,103174,88615,103174,23180,11848,85310,0,3.80,4.42,1.71,191789,126354,97158,-14559,-79994,73462
751391,172004,103097,28158,103097,51484,8208,573044,0,1.67,6.11,4.37,131255,154581,581252,-74939,-51613,564836
328516,79577,102635,6068,102635,25664,3367,505522,1,0.78,13.11,4.13,108703,128299,508889,-96567,-76971,502155
920288,180121,102581,30798,102581,23018,3728,327127,0,1.76,5.85,5.11,133379,125599,330855,-71783,-79563,323399
2479402,500670,102557,79669,102557,20788,25166,393103,0,4.88,6.28,4.95,182226,123345,418269,-22888,-81769,367937
2301472,125126,100815,11933,100815,48904,6280,2482,0,1.24,10.49,18.39,112748,149719,8762,-88882,-51911,-3798
316934,259499,100330,38294,100330,37198,11181,687357,1,2.59,6.78,1.22,138624,137528,698538,-62036,-63132,676176
2076471,171227,99871,18775,99871,42666,63893,33433,1,1.71,9.12,12.13,118646,142537,97326,-81096,-57205,-30460
1961799,61443,99744,73299,99744,15860,12593,278624,0,0.62,0.84,31.93,173043,115604,291217,-26445,-83884,266031
2362499,1080437,352487,98589,99271,54869,19380,1185459,0,3.07,10.96,2.19,451076,154140,1204839,-253898,-44402,1166079
619012,158733,98082,22005,98082,40895,3115,328605,0,1.62,7.21,3.90,120087,138977,331720,-76077,-57187,325490
451015,356053,97907,41782,97907,13234,3371,981174,1,3.64,8.52,1.27,139689,111141,984545,-56125,-84673,977803
2033110,662165,97524,89154,97524,20183,9764,923069,1,6.79,7.43,3.07,186678,117707,932833,-8370,-77341,913305
11442,24483,97210,7323,97210,26085,10108,47152,1,0.25,3.34,0.47,104533,123295,57260,-89887,-71125,37044
3028326,45242,97186,56210,97186,11823,27648,3624,0,0.47,0.80,66.94,153396,109009,31272,-40976,-85363,-24024
196532,256916,97112,73513,97112,11527,20641,9932,0,2.65,3.49,0.76,170625,108639,30573,-23599,-85585,-10709
1491402,144707,96744,33613,96744,22546,25604,7387,0,1.50,4.31,10.31,130357,119290,32991,-63131,-74198,-18217
2295598,626364,96434,71401,96434,75074,18622,10334,0,6.50,8.77,3.66,167835,171508,28956,-25033,-21360,-8288
2978526,139895,94901,25233,94901,18902,26615,9356,0,1.47,5.54,21.29,120134,113803,35971,-69668,-75999,-17259
869152,86116,94846,73098,94846,27251,12386,6327,0,0.91,1.18,10.09,167944,122097,18713,-21748,-67595,-6059
2148273,274180,94528,138810,94528,56272,61492,11349,0,2.90,1.98,7.84,233338,150800,72841,44282,-38256,-50143
718591,83162,94400,29281,94400,6835,3947,2626,0,0.88,2.84,8.64,123681,101235,6573,-65119,-87565,-1321
484902,152285,94166,134012,94166,4653,8942,712,1,1.62,1.14,3.18,228178,98819,9654,39846,-89513,-8230
567575,865084,93096,103853,93096,34971,4744,4253,0,9.29,8.33,0.66,196949,128067,8997,10757,-58125,-491
1444638,278661,92938,44124,92938,8356,5753,3931,1,3.00,6.32,5.18,137062,101294,9684,-48814,-84582,-1822
1974838,159045,92307,42044,92307,44399,10654,13726,0,1.72,3.78,12.42,134351,136706,24380,-50263,-47908,3072
24296,34489,92149,18392,92149,21376,2911,2122,0,0.37,1.88,0.70,110541,113525,5033,-73757,-70773,-789
6395,35030,91786,9202,91786,15419,11645,139276,1,0.38,3.81,0.18,100988,107205,150921,-82584,-76367,127631
1604775,111092,109185,47053,91514,10066,11889,853886,0,1.02,2.36,14.45,156238,101580,865775,-62132,-81448,841997
778481,453106,91488,36129,91488,111586,258111,99131,0,4.95,12.54,1.72,127617,203074,357242,-55359,20098,-158980
636502,266539,91408,51616,91408,25487,9591,4552,0,2.92,5.16,2.39,143024,116895,14143,-39792,-65921,-5039
3646,19105,91338,12240,91338,18032,19976,175843,1,0.21,1.56,0.19,103578,109370,195819,-79098,-73306,155867
512227,235252,91068,18598,91068,14082,11103,22520,1,2.58,12.65,2.18,109666,105150,33623,-72470,-76986,11417
583869,221965,91009,90069,91009,36063,9974,637976,0,2.44,2.46,2.63,181078,127072,647950,-940,-54946,628002
558773,75954,91004,14652,91004,6942,3086,1613,1,0.83,5.18,7.36,105656,97946,4699,-76352,-84062,-1473
349644,53175,90936,26857,90936,40952,19788,7644,0,0.58,1.98,6.58,117793,131888,27432,-64079,-49984,-12144
1434512,540712,90623,37265,90623,30225,21847,46257,1,5.97,14.51,2.65,127888,120848,68104,-53358,-60398,24410
1026186,252521,90576,55547,90576,52415,6301,9569,1,2.79,4.55,4.06,146123,142991,15870,-35029,-38161,3268
1912354,29356,90414,56116,90414,14968,5035,350922,0,0.32,0.52,65.14,146530,105382,355957,-34298,-75446,345887
1353248,48358,90365,13777,90365,10471,9260,2519,0,0.54,3.51,27.98,104142,100836,11779,-76588,-79894,-6741
322747,43254,89438,23927,89438,8560,2540,4806,0,0.48,1.81,7.46,113365,97998,7346,-65511,-80878,2266
2969039,195190,89373,96311,89373,67958,44761,1042064,0,2.18,2.03,15.21,185684,157331,1086825,6938,-21415,997303
2006742,1737580,89176,154496,89176,94983,41174,390591,1,19.48,11.25,1.15,243672,184159,431765,65320,5807,349417
7156,10490,88666,19040,88666,21091,5732,178938,1,0.12,0.55,0.68,107706,109757,184670,-69626,-67575,173206
523331,207177,88614,15171,88614,17281,13209,12054,0,2.34,13.66,2.53,103785,105895,25263,-73443,-71333,-1155
725523,484140,82479,25894,87883,129722,17689,1704972,0,5.87,18.70,1.50,108373,217605,1722661,-56585,41839,1687283
1704935,179195,87642,27846,87642,19613,5428,816838,1,2.04,6.44,9.51,115488,107255,822266,-59796,-68029,811410
909268,303228,87315,72244,87315,107368,29878,16771,1,3.47,4.20,3.00,159559,194683,46649,-15071,20053,-13107
1084121,1228009,6151,216209,87192,58198,33637,307302,0,199.64,5.68,0.88,222360,145390,340939,210058,-28994,273665
2325438,535099,87179,180545,87179,106964,12012,1262482,0,6.14,2.96,4.35,267724,194143,1274494,93366,19785,1250470
843755,193461,86711,62864,86711,21132,16138,557135,1,2.23,3.08,4.36,149575,107843,573273,-23847,-65579,540997
509885,210053,86524,53644,86524,11213,2541,697975,1,2.43,3.92,2.43,140168,97737,700516,-32880,-75311,695434
1734126,624883,86403,29780,86403,14859,8577,11765,0,7.23,20.98,2.78,116183,101262,20342,-56623,-71544,3188
1857714,1146162,86301,31957,86301,61881,15147,7454,1,13.28,35.87,1.62,118258,148182,22601,-54344,-24420,-7693
2178526,300329,11573,22731,85842,20602,16198,152401,0,25.95,13.21,7.25,34304,106444,168599,11158,-65240,136203
1649346,556512,85774,30254,85774,61578,52643,26335,1,6.49,18.39,2.96,116028,147352,78978,-55520,-24196,-26308
1562258,183508,85621,82011,85621,73323,9396,12154,0,2.14,2.24,8.51,167632,158944,21550,-3610,-12298,2758
3403612,66326,85615,45723,85615,48345,7242,570057,0,0.77,1.45,51.32,131338,133960,577299,-39892,-37270,562815
334943,187565,85473,23265,85473,15023,4417,686402,1,2.19,8.06,1.79,108738,100496,690819,-62208,-70450,681985
1022048,1518951,85213,229797,85213,354398,222069,276043,0,17.83,6.61,0.67,315010,439611,498112,144584,269185,53974
463898,739798,84744,3523,84744,15596,23034,9660,1,8.73,209.99,0.63,88267,100340,32694,-81221,-69148,-13374
1397111,688114,84727,14390,84727,10984,9079,773928,1,8.12,47.82,2.03,99117,95711,783007,-70337,-73743,764849
177057,303772,84637,64227,84637,32533,16602,4713,0,3.59,4.73,0.58,148864,117170,21315,-20410,-52104,-11889
1353747,168588,84472,63189,84472,36481,15954,32726,0,2.00,2.67,8.03,147661,120953,48680,-21283,-47991,16772
750831,144700,84107,35743,84107,9179,10794,628047,1,1.72,4.05,5.19,119850,93286,638841,-48364,-74928,617253
1909707,275788,43173,87812,84064,115171,4117,1888468,0,6.39,3.14,6.92,130985,199235,1892585,44639,31107,1884351
1201459,134329,83912,43824,83912,11863,6047,19968,0,1.60,3.07,8.94,127736,95775,26015,-40088,-72049,13921
698800,284976,83180,41118,83180,7624,10001,6060,0,3.43,6.93,2.45,124298,90804,16061,-42062,-75556,-3941
182518,119282,83096,27916,83096,19292,22190,10677,1,1.44,4.27,1.53,111012,102388,32867,-55180,-63804,-11513
1260626,195404,82943,56665,82943,53438,23542,541496,1,2.36,3.45,6.45,139608,136381,565038,-26278,-29505,517954
884325,54072,82574,24255,82574,21887,4444,201437,0,0.65,2.23,16.35,106829,104461,205881,-58319,-60687,196993
1002342,484190,82537,28171,82537,21281,31553,670118,1,5.87,17.19,2.07,110708,103818,701671,-54366,-61256,638565
934036,371829,82345,9110,82345,39376,17776,149321,0,4.52,40.82,2.51,91455,121721,167097,-73235,-42969,131545
190044,143273,82292,67004,82292,42623,7978,474482,0,1.74,2.14,1.33,149296,124915,482460,-15288,-39669,466504
8604,23130,82178,5218,82178,14402,16164,21610,1,0.28,4.43,0.37,87396,96580,37774,-76960,-67776,5446
7260,12507,81667,6533,81667,14991,5546,45844,1,0.15,1.91,0.58,88200,96658,51390,-75134,-66676,40298
1420,21281,80315,13508,80315,15908,3496,49862,1,0.26,1.58,0.07,93823,96223,53358,-66807,-64407,46366
